H2O2,OH,HO2
7.83260E+01,1.00000E+00,5.00000E+00
7.84980E+01,1.00000E+00,4.89900E+00
7.76210E+01,1.00000E+00,5.00000E+00
7.74920E+01,1.00000E+00,4.89900E+00
7.76340E+01,1.00000E+00,5.83100E+00
7.81090E+01,1.00000E+00,5.91610E+00
7.76720E+01,1.41420E+00,5.19620E+00
7.84280E+01,1.00000E+00,5.19620E+00
7.73240E+01,1.41420E+00,5.29150E+00
7.76600E+01,1.00000E+00,5.38520E+00
7.85180E+01,1.41420E+00,5.38520E+00
7.81790E+01,1.00000E+00,4.58260E+00
7.81660E+01,1.00000E+00,4.35890E+00
7.80260E+01,1.41420E+00,5.56780E+00
7.83450E+01,1.00000E+00,5.00000E+00
7.76400E+01,1.00000E+00,5.56780E+00
7.76210E+01,1.41420E+00,6.08280E+00
7.79420E+01,1.00000E+00,5.74460E+00
7.82690E+01,1.00000E+00,5.56780E+00
7.68900E+01,1.00000E+00,4.79580E+00
7.79490E+01,1.00000E+00,5.19620E+00
7.71490E+01,1.41420E+00,6.63330E+00
7.74270E+01,1.73220E+00,5.56780E+00
7.66810E+01,1.00000E+00,5.19620E+00
7.70320E+01,1.00000E+00,5.00000E+00
7.80700E+01,1.00000E+00,4.69040E+00
7.73630E+01,1.00000E+00,5.56780E+00
7.81150E+01,1.41420E+00,6.00000E+00
7.78850E+01,1.00000E+00,6.24500E+00
7.78200E+01,1.41420E+00,6.40310E+00
7.76920E+01,1.00000E+00,5.47720E+00
7.75950E+01,1.00000E+00,5.38520E+00
7.74530E+01,1.00000E+00,5.38520E+00
7.73890E+01,1.00000E+00,5.19620E+00
7.84670E+01,1.00000E+00,4.89900E+00
7.70650E+01,1.41420E+00,5.29150E+00
7.79550E+01,1.41420E+00,4.79580E+00
7.78910E+01,1.41420E+00,5.29150E+00
7.79870E+01,1.00000E+00,4.47210E+00
7.81030E+01,1.00000E+00,4.89900E+00
7.76080E+01,1.00000E+00,5.29150E+00
7.80580E+01,1.00000E+00,5.38520E+00
7.73500E+01,1.00000E+00,5.09900E+00
7.74080E+01,1.00000E+00,5.47720E+00
7.79040E+01,1.00000E+00,5.65690E+00
7.70710E+01,1.00000E+00,5.29150E+00
7.79620E+01,1.00000E+00,4.24260E+00
7.72530E+01,1.00000E+00,5.19620E+00
7.74980E+01,1.00000E+00,6.00000E+00
7.83070E+01,1.00000E+00,4.58260E+00
7.80960E+01,1.73220E+00,5.00000E+00
7.84030E+01,1.00000E+00,5.09900E+00
7.78460E+01,1.00000E+00,6.40310E+00
7.76210E+01,1.00000E+00,5.74460E+00
7.84790E+01,1.00000E+00,5.19620E+00
7.71690E+01,1.00000E+00,5.29150E+00
7.76470E+01,1.00000E+00,5.47720E+00
7.73820E+01,1.00000E+00,5.47720E+00
7.74600E+01,1.00000E+00,6.00000E+00
7.73690E+01,1.00000E+00,5.00000E+00
7.74210E+01,1.00000E+00,5.65690E+00
7.84280E+01,1.41420E+00,5.91610E+00
7.81980E+01,1.41420E+00,5.19620E+00
7.76400E+01,1.00000E+00,4.58260E+00
7.69550E+01,1.00000E+00,4.89900E+00
7.77370E+01,1.00000E+00,4.12310E+00
7.80900E+01,1.00000E+00,5.09900E+00
7.84470E+01,1.00000E+00,5.74460E+00
7.70450E+01,1.00000E+00,5.19620E+00
7.82430E+01,1.00000E+00,5.65690E+00
7.76270E+01,1.00000E+00,5.09900E+00
7.70060E+01,1.00000E+00,5.19620E+00
7.74400E+01,1.73220E+00,5.09900E+00
7.81280E+01,1.00000E+00,4.58260E+00
7.79170E+01,1.00000E+00,5.65690E+00
7.72850E+01,1.00000E+00,5.38520E+00
7.75440E+01,1.41420E+00,4.79580E+00
7.72080E+01,1.00000E+00,5.74460E+00
7.78140E+01,1.00000E+00,5.19620E+00
7.67790E+01,1.00000E+00,5.56780E+00
7.71820E+01,1.00000E+00,5.56780E+00
7.76660E+01,1.73220E+00,4.35890E+00
7.73630E+01,1.41420E+00,4.00000E+00
7.71230E+01,1.41420E+00,5.65690E+00
7.75110E+01,1.00000E+00,4.89900E+00
7.72330E+01,1.00000E+00,5.29150E+00
7.81540E+01,1.00000E+00,4.89900E+00
7.71750E+01,1.00000E+00,4.58260E+00
7.71820E+01,1.00000E+00,6.16440E+00
7.72590E+01,1.00000E+00,4.24260E+00
7.82050E+01,1.00000E+00,5.29150E+00
7.79360E+01,1.00000E+00,5.29150E+00
7.85490E+01,1.00000E+00,5.29150E+00
7.89620E+01,1.00000E+00,5.47720E+00
7.75050E+01,1.00000E+00,5.38520E+00
7.81980E+01,1.00000E+00,5.47720E+00
7.74140E+01,1.00000E+00,5.47720E+00
7.71690E+01,1.41420E+00,5.91610E+00
7.90250E+01,1.00000E+00,4.79580E+00
7.76600E+01,1.41420E+00,5.91610E+00
7.81030E+01,7.17120E+00,5.56780E+00
7.78270E+01,9.21950E+00,9.53940E+00
7.78850E+01,9.11140E+00,1.38200E+01
7.74790E+01,8.94430E+00,1.62480E+01
7.76600E+01,9.21950E+00,1.98750E+01
7.78460E+01,8.42620E+00,2.01490E+01
7.75440E+01,5.91620E+00,2.24280E+01
7.71950E+01,6.48170E+00,2.28470E+01
7.76600E+01,5.74460E+00,2.31520E+01
7.76400E+01,5.19910E+00,2.43520E+01
7.69870E+01,5.29150E+00,2.51590E+01
7.73180E+01,2.82840E+00,2.59620E+01
7.79940E+01,3.31660E+00,2.51000E+01
7.73560E+01,4.12310E+00,2.64390E+01
7.69480E+01,2.82840E+00,2.60380E+01
7.66220E+01,2.44950E+00,2.51790E+01
7.72660E+01,1.41420E+00,2.65140E+01
7.74730E+01,1.73220E+00,2.65140E+01
7.66220E+01,1.73220E+00,2.65890E+01
7.64660E+01,1.41420E+00,2.63630E+01
7.80960E+01,1.41420E+00,2.61730E+01
7.68960E+01,1.00000E+00,2.65890E+01
7.71430E+01,1.41420E+00,2.61530E+01
7.72980E+01,1.00000E+00,2.65520E+01
7.80000E+01,1.73220E+00,2.60960E+01
7.72460E+01,1.41420E+00,2.66650E+01
7.72330E+01,1.00000E+00,2.60000E+01
7.66940E+01,1.00000E+00,2.71290E+01
7.68440E+01,1.41420E+00,2.67390E+01
7.72850E+01,1.00000E+00,2.79460E+01
7.75690E+01,1.41420E+00,2.72210E+01
7.72850E+01,1.00000E+00,2.67770E+01
7.64530E+01,1.00000E+00,2.70560E+01
7.68510E+01,1.00000E+00,2.69260E+01
7.73820E+01,1.00000E+00,2.64950E+01
7.70840E+01,1.00000E+00,2.66080E+01
7.72720E+01,1.00000E+00,2.78570E+01
7.74600E+01,1.00000E+00,2.63250E+01
7.69480E+01,1.00000E+00,2.66650E+01
7.76660E+01,1.41420E+00,2.68510E+01
7.72010E+01,1.00000E+00,2.75320E+01
7.74020E+01,1.00000E+00,2.61530E+01
7.79230E+01,1.00000E+00,2.63060E+01
7.74020E+01,1.00000E+00,2.70000E+01
7.74340E+01,1.41420E+00,2.68890E+01
7.70580E+01,1.00000E+00,2.59420E+01
7.69550E+01,1.41420E+00,2.70920E+01
7.76080E+01,1.00000E+00,2.61730E+01
7.63350E+01,1.41420E+00,2.62870E+01
7.70130E+01,1.00000E+00,2.57880E+01
7.75370E+01,1.00000E+00,2.62110E+01
7.66030E+01,1.00000E+00,2.63820E+01
7.70520E+01,1.73220E+00,2.61730E+01
7.73240E+01,1.00000E+00,2.60190E+01
7.69030E+01,1.41420E+00,2.56520E+01
7.70910E+01,1.00000E+00,2.69630E+01
7.67920E+01,1.00000E+00,2.64390E+01
7.67400E+01,1.00000E+00,2.60770E+01
7.70840E+01,1.00000E+00,2.65520E+01
7.69870E+01,2.23620E+00,2.68890E+01
7.69940E+01,1.73220E+00,2.65890E+01
7.78850E+01,1.00000E+00,2.52190E+01
7.74400E+01,1.41420E+00,2.65330E+01
7.75690E+01,1.00000E+00,2.67580E+01
7.58550E+01,1.00000E+00,2.66650E+01
7.72140E+01,1.41420E+00,2.70920E+01
7.74400E+01,1.00000E+00,2.67390E+01
7.73820E+01,1.00000E+00,2.64580E+01
7.66290E+01,1.00000E+00,2.57100E+01
7.78520E+01,1.00000E+00,2.59810E+01
7.76470E+01,1.00000E+00,2.53770E+01
7.72400E+01,1.00000E+00,2.72950E+01
7.68640E+01,1.00000E+00,2.65710E+01
7.79550E+01,1.00000E+00,2.60580E+01
7.76790E+01,1.00000E+00,2.57290E+01
7.72980E+01,1.41420E+00,2.61340E+01
7.68050E+01,1.00000E+00,2.54170E+01
7.66290E+01,1.00000E+00,2.65710E+01
7.78970E+01,1.00000E+00,2.57490E+01
7.76340E+01,1.00000E+00,2.72030E+01
7.76470E+01,1.00000E+00,2.61530E+01
7.73690E+01,1.00000E+00,2.51400E+01
7.74790E+01,1.00000E+00,2.60000E+01
7.72980E+01,1.00000E+00,2.56900E+01
7.76140E+01,1.00000E+00,2.55540E+01
7.68640E+01,1.00000E+00,2.56520E+01
7.72720E+01,1.00000E+00,2.62300E+01
7.64400E+01,1.41420E+00,2.56320E+01
7.75760E+01,1.00000E+00,2.55930E+01
7.73300E+01,1.41420E+00,2.53770E+01
7.66220E+01,1.00000E+00,2.51990E+01
7.70970E+01,1.41420E+00,2.66270E+01
7.69940E+01,1.00000E+00,2.47590E+01
7.71430E+01,1.00000E+00,2.64390E+01
7.61580E+01,1.41420E+00,2.57290E+01
7.71100E+01,1.41420E+00,2.65330E+01
7.72140E+01,1.00000E+00,2.58460E+01
7.67200E+01,1.73220E+00,2.57680E+01
7.73370E+01,1.00000E+00,2.52980E+01
7.64070E+01,1.00000E+00,2.59040E+01
7.70260E+01,1.00000E+00,2.60380E+01
7.74850E+01,1.00000E+00,2.54360E+01
7.78400E+01,1.73220E+00,2.66650E+01
7.77240E+01,1.00000E+00,2.64580E+01
7.69740E+01,1.41420E+00,2.54560E+01
7.69810E+01,1.41420E+00,2.56900E+01
7.72980E+01,1.00000E+00,2.50600E+01
7.71040E+01,1.00000E+00,2.44740E+01
7.72010E+01,1.00000E+00,2.47790E+01
7.68110E+01,1.00000E+00,2.51990E+01
7.73500E+01,1.00000E+00,2.58840E+01
7.67200E+01,1.41420E+00,2.56130E+01
7.72400E+01,1.00000E+00,2.46980E+01
7.81030E+01,1.00000E+00,2.49000E+01
7.80190E+01,1.00000E+00,2.53180E+01
7.75500E+01,1.00000E+00,2.47590E+01
7.77750E+01,1.00000E+00,2.52590E+01
7.71430E+01,1.00000E+00,2.60960E+01
7.77370E+01,1.00000E+00,2.50400E+01
7.73630E+01,1.41420E+00,2.49000E+01
7.83390E+01,1.00000E+00,2.53180E+01
7.75690E+01,1.00000E+00,2.47180E+01
7.75440E+01,1.00000E+00,2.40420E+01
7.73180E+01,1.00000E+00,2.57100E+01
7.67400E+01,1.00000E+00,2.44340E+01
7.77560E+01,1.00000E+00,2.45360E+01
7.76720E+01,1.00000E+00,2.40210E+01
7.67140E+01,1.41420E+00,2.41870E+01
7.76020E+01,1.00000E+00,2.48600E+01
7.66750E+01,1.00000E+00,2.48390E+01
7.74660E+01,1.00000E+00,2.53180E+01
7.69680E+01,1.00000E+00,2.50400E+01
7.67140E+01,1.41420E+00,2.42900E+01
7.66420E+01,1.00000E+00,2.42280E+01
7.71620E+01,1.00000E+00,2.46580E+01
7.71360E+01,1.00000E+00,2.51400E+01
7.73630E+01,1.00000E+00,2.45970E+01
7.70260E+01,1.00000E+00,2.44340E+01
7.72850E+01,1.00000E+00,2.49600E+01
7.70970E+01,1.00000E+00,2.44540E+01
7.64590E+01,1.00000E+00,2.43930E+01
7.79870E+01,1.41420E+00,2.46980E+01
7.71560E+01,1.00000E+00,2.54360E+01
7.68960E+01,1.41420E+00,2.41450E+01
7.68770E+01,1.00000E+00,2.39580E+01
7.70000E+01,1.00000E+00,2.38750E+01
7.74210E+01,1.00000E+00,2.40210E+01
7.68310E+01,1.73220E+00,2.40420E+01
7.73560E+01,1.00000E+00,2.40000E+01
7.71300E+01,1.00000E+00,2.42690E+01
7.71430E+01,1.00000E+00,2.40000E+01
7.75890E+01,1.00000E+00,2.42900E+01
7.74790E+01,1.41420E+00,2.38120E+01
7.67270E+01,1.00000E+00,2.43520E+01
7.75560E+01,1.00000E+00,2.37280E+01
7.71880E+01,1.00000E+00,2.45360E+01
7.71880E+01,1.41420E+00,2.35580E+01
7.73180E+01,1.00000E+00,2.42900E+01
7.73820E+01,1.00000E+00,2.41870E+01
7.75370E+01,1.00000E+00,2.39790E+01
7.68110E+01,1.41420E+00,2.44740E+01
7.76600E+01,1.00000E+00,2.46170E+01
7.76790E+01,1.00000E+00,2.42280E+01
7.75310E+01,1.00000E+00,2.39790E+01
7.78270E+01,1.41420E+00,2.40830E+01
7.73890E+01,1.73220E+00,2.40210E+01
7.64070E+01,1.00000E+00,2.33450E+01
7.70580E+01,1.41420E+00,2.44740E+01
7.76980E+01,1.00000E+00,2.40620E+01
7.68310E+01,1.00000E+00,2.32160E+01
7.66030E+01,1.00000E+00,2.41040E+01
7.78780E+01,1.00000E+00,2.39170E+01
7.76980E+01,1.00000E+00,2.35800E+01
7.71820E+01,1.00000E+00,2.35370E+01
7.84730E+01,1.00000E+00,2.24720E+01
7.74730E+01,1.00000E+00,2.43520E+01
7.71490E+01,1.00000E+00,2.33880E+01
7.71170E+01,1.00000E+00,2.24050E+01
7.70060E+01,1.00000E+00,2.33450E+01
7.68570E+01,1.00000E+00,2.37490E+01
7.64790E+01,1.00000E+00,2.34090E+01
7.69870E+01,1.00000E+00,2.34520E+01
7.74080E+01,1.00000E+00,2.43520E+01
7.75050E+01,1.00000E+00,2.35580E+01
7.67330E+01,1.00000E+00,2.39790E+01
7.73110E+01,1.00000E+00,2.44540E+01
7.70840E+01,1.00000E+00,2.32380E+01
7.73950E+01,1.41420E+00,2.39170E+01
7.74790E+01,1.00000E+00,2.28040E+01
7.73820E+01,1.00000E+00,2.28470E+01
7.78010E+01,1.00000E+00,2.24500E+01
7.70710E+01,1.00000E+00,2.36850E+01
7.72460E+01,1.41420E+00,2.41450E+01
7.79810E+01,1.41420E+00,2.28470E+01
7.69550E+01,1.00000E+00,2.23610E+01
7.73240E+01,1.00000E+00,2.38120E+01
7.67790E+01,1.41420E+00,2.35370E+01
7.78850E+01,1.00000E+00,2.36850E+01
7.72140E+01,1.00000E+00,2.27600E+01
7.72400E+01,1.00000E+00,2.30650E+01
7.69420E+01,1.00000E+00,2.31950E+01
7.72080E+01,1.41420E+00,2.28690E+01
7.81600E+01,1.00000E+00,2.34520E+01
7.79170E+01,1.00000E+00,2.34730E+01
7.66750E+01,1.00000E+00,2.22710E+01
7.70320E+01,1.00000E+00,2.38540E+01
7.68180E+01,1.00000E+00,2.28250E+01
7.73950E+01,1.00000E+00,2.24280E+01
7.75240E+01,1.73220E+00,2.31300E+01
7.62100E+01,1.00000E+00,2.24940E+01
7.66090E+01,1.41420E+00,2.35160E+01
7.73950E+01,1.00000E+00,2.36010E+01
7.68510E+01,1.00000E+00,2.22710E+01
7.73180E+01,1.41420E+00,2.26940E+01
7.71230E+01,1.41420E+00,2.30650E+01
7.67720E+01,1.00000E+00,2.25610E+01
7.66420E+01,1.00000E+00,2.38120E+01
7.63680E+01,1.41420E+00,2.26500E+01
7.75050E+01,1.00000E+00,2.29130E+01
7.67330E+01,1.00000E+00,2.33020E+01
7.66620E+01,1.00000E+00,2.26500E+01
7.66880E+01,1.00000E+00,2.25830E+01
7.71490E+01,1.00000E+00,2.20230E+01
7.77050E+01,1.00000E+00,2.36640E+01
7.70190E+01,1.00000E+00,2.18170E+01
7.69030E+01,1.41420E+00,2.21130E+01
7.69610E+01,1.41420E+00,2.20230E+01
7.70190E+01,1.00000E+00,2.21590E+01
7.70910E+01,1.00000E+00,2.26270E+01
7.76600E+01,1.00000E+00,2.25390E+01
7.69940E+01,1.00000E+00,2.17720E+01
7.75500E+01,1.00000E+00,2.21810E+01
7.76020E+01,1.00000E+00,2.28250E+01
7.68370E+01,1.00000E+00,2.25830E+01
7.72080E+01,1.00000E+00,2.25610E+01
7.74340E+01,1.00000E+00,2.26500E+01
7.70780E+01,1.00000E+00,2.34520E+01
7.74020E+01,1.41420E+00,2.22940E+01
7.70520E+01,1.00000E+00,2.27600E+01
7.69740E+01,1.00000E+00,2.15640E+01
7.75890E+01,1.00000E+00,2.24280E+01
7.64330E+01,1.41420E+00,2.15410E+01
7.74470E+01,1.41420E+00,2.23380E+01
7.76340E+01,1.00000E+00,2.11190E+01
7.63810E+01,1.00000E+00,2.26500E+01
7.75690E+01,1.41420E+00,2.28690E+01
7.73180E+01,1.00000E+00,2.21130E+01
7.80900E+01,1.73220E+00,2.27600E+01
7.69680E+01,1.00000E+00,2.22040E+01
7.70000E+01,1.00000E+00,2.20000E+01
7.78970E+01,1.41420E+00,2.24500E+01
7.73630E+01,1.00000E+00,2.25170E+01
7.71170E+01,1.41420E+00,2.26270E+01
7.73890E+01,1.00000E+00,2.10240E+01
7.66620E+01,1.00000E+00,2.11900E+01
7.74270E+01,1.00000E+00,2.16790E+01
7.70650E+01,1.00000E+00,2.22490E+01
7.75820E+01,1.41420E+00,2.20910E+01
7.68770E+01,1.41420E+00,2.23610E+01
7.77690E+01,1.00000E+00,2.19770E+01
7.76600E+01,1.00000E+00,2.16790E+01
7.76660E+01,1.00000E+00,2.12370E+01
7.69220E+01,1.00000E+00,2.15410E+01
7.71620E+01,1.00000E+00,2.16330E+01
7.73630E+01,1.00000E+00,2.25390E+01
7.69220E+01,1.41420E+00,2.20450E+01
7.66620E+01,1.00000E+00,2.17260E+01
7.73760E+01,1.00000E+00,2.20230E+01
7.70000E+01,1.00000E+00,2.15870E+01
7.74270E+01,1.00000E+00,2.17490E+01
7.77170E+01,1.00000E+00,2.14010E+01
7.83130E+01,1.00000E+00,2.22040E+01
7.74600E+01,1.41420E+00,2.08330E+01
7.66750E+01,1.00000E+00,2.14940E+01
