t-data,H2O2-data,HO2-data,OH-data,t-model,H2O2-model,HO2-model,OH-model
-20.0,6135.0,-3.15,-0.82,-20.0,6040.731958762886,0.0,0.0
-19.8,6162.0,-4.15,0.18,-19.8,6040.731958762886,0.0,0.0
-19.6,6025.0,-3.15,0.18,-19.6,6040.731958762887,0.0,0.0
-19.4,6005.0,-4.15,-0.82,-19.4,6040.731958762886,0.0,0.0
-19.2,6027.0,5.85,-0.82,-19.2,6040.731958762886,0.0,0.0
-19.0,6101.0,6.85,-0.82,-19.0,6040.731958762886,0.0,0.0
-18.8,6033.0,-1.15,1.18,-18.8,6040.731958762886,0.0,0.0
-18.6,6151.0,-1.15,-0.82,-18.6,6040.731958762886,0.0,0.0
-18.4,5979.0,-0.15,1.18,-18.4,6040.731958762887,0.0,0.0
-18.2,6031.0,0.85,-0.82,-18.2,6040.731958762886,0.0,0.0
-18.0,6165.0,0.85,1.18,-18.0,6040.731958762887,0.0,0.0
-17.8,6112.0,-7.15,0.18,-17.8,6040.731958762886,0.0,0.0
-17.6,6110.0,-9.15,-0.82,-17.6,6040.731958762886,0.0,0.0
-17.4,6088.0,2.85,1.18,-17.4,6040.731958762886,0.0,0.0
-17.2,6138.0,-3.15,0.18,-17.2,6040.731958762886,0.0,0.0
-17.0,6028.0,2.85,-0.82,-17.0,6040.7319587628845,0.0,0.0
-16.8,6025.0,8.85,1.18,-16.8,6040.7319587628845,0.0,0.0
-16.6,6075.0,4.85,-0.82,-16.599999999999998,6040.731958762886,0.0,0.0
-16.4,6126.0,2.85,-0.82,-16.4,6040.731958762887,0.0,0.0
-16.2,5912.0,-5.15,0.18,-16.2,6040.731958762887,0.0,0.0
-16.0,6076.0,-1.15,-0.82,-16.0,6040.731958762887,0.0,0.0
-15.8,5952.0,15.85,1.18,-15.799999999999999,6040.731958762887,0.0,0.0
-15.6,5995.0,2.85,2.18,-15.599999999999998,6040.731958762887,0.0,0.0
-15.399999999999999,5880.0,-1.15,-0.82,-15.399999999999999,6040.731958762886,0.0,0.0
-15.2,5934.0,-3.15,-0.82,-15.2,6040.731958762886,0.0,0.0
-15.0,6095.0,-6.15,0.18,-15.0,6040.731958762886,0.0,0.0
-14.8,5985.0,2.85,0.18,-14.799999999999999,6040.731958762886,0.0,0.0
-14.6,6102.0,7.85,1.18,-14.599999999999998,6040.731958762886,0.0,0.0
-14.399999999999999,6066.0,10.85,0.18,-14.399999999999999,6040.731958762886,0.0,0.0
-14.2,6056.0,12.85,1.18,-14.2,6040.731958762886,0.0,0.0
-14.0,6036.0,1.85,-0.82,-14.0,6040.7319587628845,0.0,0.0
-13.8,6021.0,0.85,0.18,-13.799999999999999,6040.731958762886,0.0,0.0
-13.6,5999.0,0.85,0.18,-13.599999999999998,6040.731958762886,0.0,0.0
-13.399999999999999,5989.0,-1.15,-0.82,-13.399999999999999,6040.7319587628845,0.0,0.0
-13.2,6157.0,-4.15,-0.82,-13.2,6040.7319587628845,0.0,0.0
-13.0,5939.0,-0.15,1.18,-12.999999999999998,6040.7319587628845,0.0,0.0
-12.8,6077.0,-5.15,1.18,-12.799999999999999,6040.731958762886,0.0,0.0
-12.6,6067.0,-0.15,1.18,-12.599999999999998,6040.731958762886,0.0,0.0
-12.399999999999999,6082.0,-8.15,0.18,-12.399999999999999,6040.731958762886,0.0,0.0
-12.2,6100.0,-4.15,-0.82,-12.2,6040.731958762887,0.0,0.0
-12.0,6023.0,-0.15,0.18,-11.999999999999998,6040.731958762887,0.0,0.0
-11.799999999999999,6093.0,0.85,-0.82,-11.799999999999999,6040.731958762887,0.0,0.0
-11.6,5983.0,-2.15,0.18,-11.599999999999998,6040.731958762887,0.0,0.0
-11.4,5992.0,1.85,0.18,-11.399999999999999,6040.731958762887,0.0,0.0
-11.2,6069.0,3.85,0.18,-11.199999999999998,6040.731958762887,0.0,0.0
-11.0,5940.0,-0.15,-0.82,-10.999999999999998,6040.731958762887,0.0,0.0
-10.799999999999999,6078.0,-10.15,-0.82,-10.799999999999999,6040.731958762887,0.0,0.0
-10.6,5968.0,-1.15,-0.82,-10.599999999999998,6040.731958762887,0.0,0.0
-10.399999999999999,6006.0,7.85,0.18,-10.399999999999999,6040.731958762887,0.0,0.0
-10.2,6132.0,-7.15,-0.82,-10.199999999999998,6040.731958762886,0.0,0.0
-10.0,6099.0,-3.15,2.18,-9.999999999999998,6040.731958762886,0.0,0.0
-9.799999999999999,6147.0,-2.15,0.18,-9.799999999999997,6040.731958762886,0.0,0.0
-9.6,6060.0,12.85,0.18,-9.599999999999998,6040.731958762887,0.0,0.0
-9.399999999999999,6025.0,4.85,0.18,-9.399999999999999,6040.731958762886,0.0,0.0
-9.2,6159.0,-1.15,-0.82,-9.199999999999998,6040.731958762886,0.0,0.0
-9.0,5955.0,-0.15,0.18,-8.999999999999998,6040.7319587628845,0.0,0.0
-8.799999999999999,6029.0,1.85,0.18,-8.799999999999997,6040.7319587628845,0.0,0.0
-8.6,5988.0,1.85,-0.82,-8.599999999999998,6040.731958762886,0.0,0.0
-8.399999999999999,6000.0,7.85,-0.82,-8.399999999999999,6040.731958762886,0.0,0.0
-8.2,5986.0,-3.15,-0.82,-8.199999999999998,6040.731958762886,0.0,0.0
-8.0,5994.0,3.85,0.18,-7.999999999999998,6040.731958762886,0.0,0.0
-7.799999999999999,6151.0,6.85,1.18,-7.799999999999997,6040.731958762886,0.0,0.0
-7.6,6115.0,-1.15,1.18,-7.599999999999998,6040.731958762886,0.0,0.0
-7.399999999999999,6028.0,-7.15,-0.82,-7.399999999999997,6040.7319587628845,0.0,0.0
-7.199999999999999,5922.0,-4.15,0.18,-7.1999999999999975,6040.731958762886,0.0,0.0
-7.0,6043.0,-11.15,-0.82,-6.999999999999998,6040.731958762886,0.0,0.0
-6.799999999999999,6098.0,-2.15,-0.82,-6.799999999999997,6040.731958762886,0.0,0.0
-6.6,6154.0,4.85,0.18,-6.599999999999998,6040.731958762886,0.0,0.0
-6.399999999999999,5936.0,-1.15,-0.82,-6.399999999999997,6040.7319587628845,0.0,0.0
-6.199999999999999,6122.0,3.85,-0.82,-6.1999999999999975,6040.731958762886,0.0,0.0
-6.0,6026.0,-2.15,-0.82,-5.9999999999999964,6040.7319587628845,0.0,0.0
-5.799999999999999,5930.0,-1.15,-0.82,-5.799999999999997,6040.7319587628845,0.0,0.0
-5.6,5997.0,-2.15,2.18,-5.599999999999998,6040.7319587628845,0.0,0.0
-5.399999999999999,6104.0,-7.15,0.18,-5.399999999999997,6040.7319587628845,0.0,0.0
-5.199999999999999,6071.0,3.85,-0.82,-5.1999999999999975,6040.731958762886,0.0,0.0
-5.0,5973.0,0.85,-0.82,-4.9999999999999964,6040.731958762886,0.0,0.0
-4.799999999999999,6013.0,-5.15,1.18,-4.799999999999997,6040.731958762886,0.0,0.0
-4.6,5961.0,4.85,0.18,-4.599999999999998,6040.731958762886,0.0,0.0
-4.399999999999999,6055.0,-1.15,0.18,-4.399999999999997,6040.731958762886,0.0,0.0
-4.199999999999999,5895.0,2.85,0.18,-4.1999999999999975,6040.731958762886,0.0,0.0
-4.0,5957.0,2.85,-0.82,-3.9999999999999964,6040.731958762887,0.0,0.0
-3.8000000000000007,6032.0,-9.15,2.18,-3.799999999999997,6040.731958762887,0.0,0.0
-3.599999999999998,5985.0,-12.15,1.18,-3.599999999999998,6040.731958762887,0.0,0.0
-3.3999999999999986,5948.0,3.85,1.18,-3.399999999999995,6040.731958762887,0.0,0.0
-3.1999999999999993,6008.0,-4.15,0.18,-3.1999999999999957,6040.731958762887,0.0,0.0
-3.0,5965.0,-0.15,-0.82,-2.9999999999999964,6040.731958762887,0.0,0.0
-2.8000000000000007,6108.0,-4.15,0.18,-2.799999999999997,6040.731958762887,0.0,0.0
-2.599999999999998,5956.0,-7.15,0.18,-2.599999999999998,6040.731958762888,0.0,0.0
-2.3999999999999986,5957.0,9.85,-0.82,-2.399999999999995,6040.731958762887,0.0,0.0
-2.1999999999999993,5969.0,-10.15,-0.82,-2.1999999999999957,6040.731958762888,0.0,0.0
-2.0,6116.0,-0.15,0.18,-1.9999999999999964,6040.731958762888,0.0,0.0
-1.8000000000000007,6074.0,-0.15,-0.82,-1.7999999999999972,6040.731958762887,0.0,0.0
-1.5999999999999979,6170.0,-0.15,-0.82,-1.5999999999999979,6040.731958762887,0.0,0.0
-1.3999999999999986,6235.0,1.85,-0.82,-1.399999999999995,6040.731958762887,0.0,0.0
-1.1999999999999993,6007.0,0.85,-0.82,-1.1999999999999957,6040.731958762887,0.0,0.0
-1.0,6115.0,1.85,0.18,-0.9999999999999964,6040.731958762887,0.0,0.0
-0.7999999999999972,5993.0,1.85,-0.82,-0.7999999999999972,6040.731958762887,0.0,0.0
-0.5999999999999979,5955.0,6.85,1.18,-0.5999999999999979,6040.731958762887,7.757817590465206e-85,7.027867616525249e-23
-0.3999999999999986,6245.0,-5.15,0.18,-0.399999999999995,6040.730960920025,0.0003265725430423448,0.38131341271689967
-0.1999999999999993,6031.0,6.85,1.18,-0.19999999999999574,6040.1116480900555,1.0605303502462569,12.851298358483415
0.0,6100.0,2.85,49.18,3.552713678800501e-15,6036.064004296431,16.502464017948377,31.82368101188588
0.20000000000000284,6057.0,62.85,84.18,0.20000000000000284,6030.018084220786,59.42299736440065,38.6368795766347
0.40000000000000213,6066.0,162.85,82.18,0.4000000000000057,6024.342244903853,119.42140954581542,37.717614754925826
0.6000000000000014,6003.0,235.85,79.18,0.600000000000005,6019.505598397507,183.0393201463957,33.79739578363005
0.8000000000000007,6031.0,366.85,84.18,0.8000000000000043,6015.450182473796,242.79963533544858,29.07878585009842
1.0,6060.0,377.85,70.18,1.0000000000000036,6012.041165196017,295.8596234079625,24.4655106170057
1.2000000000000028,6013.0,474.85,34.18,1.2000000000000028,6009.197414677091,341.26362470200417,20.285688347986955
1.4000000000000021,5959.0,493.85,41.18,1.4000000000000057,6006.851645257571,379.1610238421602,16.656486235783035
1.6000000000000014,6031.0,507.85,32.18,1.600000000000005,6004.926379671097,410.35380696535975,13.585096467561328
1.8000000000000007,6028.0,564.85,25.18,1.8000000000000043,6003.3439812632805,435.8748757548178,11.032016051983714
2.0,5927.0,604.85,27.18,2.0000000000000036,6002.017152285471,456.9202996877433,8.931694177127056
2.200000000000003,5978.0,645.85,7.18,2.200000000000003,6000.91960685624,474.0366910832515,7.210674329813025
2.400000000000002,6083.0,601.85,10.18,2.4000000000000057,6000.032589504298,487.6983993275626,5.808725335506883
2.6000000000000014,5984.0,670.85,16.18,2.600000000000005,5999.319315598429,498.52513631344004,4.672338992377475
2.8000000000000007,5921.0,649.85,7.18,2.8000000000000043,5998.738418818187,507.14604769974676,3.7555715720963727
3.0,5871.0,605.85,5.18,3.0000000000000036,5998.234759964124,514.2861537385564,3.0176839850702226
3.200000000000003,5970.0,674.85,1.18,3.200000000000003,5997.811966256689,520.0197521806808,2.4234287447475436
3.400000000000002,6002.0,674.85,2.18,3.4000000000000057,5997.477012352099,524.3963442068588,1.945621240250349
3.6000000000000014,5871.0,678.85,2.18,3.600000000000005,5997.214371870273,527.6703019769394,1.5620554148889927
3.8000000000000007,5847.0,666.85,1.18,3.8000000000000043,5997.000536312222,530.1592596878723,1.254692822762577
4.0,6099.0,656.85,1.18,4.0000000000000036,5996.795314750959,532.3240327427368,1.0084998337274391
4.200000000000003,5913.0,678.85,0.18,4.200000000000006,5996.615010425583,534.0257634258028,0.8110536644927328
4.400000000000002,5951.0,655.85,1.18,4.400000000000006,5996.477031455962,535.1393372002927,0.6527440849604892
4.600000000000001,5975.0,676.85,0.18,4.600000000000005,5996.374323443121,535.7738483862457,0.5258524194447233
4.800000000000001,6084.0,652.85,2.18,4.800000000000004,5996.290322258229,536.1266486505106,0.4241808247562583
5.0,5967.0,682.85,1.18,5.0000000000000036,5996.190560765916,536.5570523984059,0.3426825448425644
5.200000000000003,5965.0,647.85,0.18,5.200000000000006,5996.095934632475,536.8527284910762,0.27726825035582925
5.400000000000002,5882.0,707.85,0.18,5.400000000000006,5996.027566365573,536.8293734920337,0.2247358542830356
5.600000000000001,5905.0,686.85,1.18,5.600000000000005,5995.981446947518,536.544555671042,0.18252432143736014
5.800000000000001,5973.0,752.85,-0.82,5.800000000000004,5995.943508984498,536.1519991484421,0.14858113133754536
6.0,6017.0,712.85,1.18,6.0000000000000036,5995.8813705786915,535.9721118618897,0.12125618224853998
6.200000000000003,5973.0,688.85,0.18,6.200000000000006,5995.817478566651,535.770323957832,0.09922770649896907
6.400000000000002,5845.0,703.85,0.18,6.400000000000006,5995.774196149404,535.3446241510053,0.0814456951602387
6.600000000000001,5906.0,696.85,0.18,6.600000000000005,5995.748576793805,534.7345226559322,0.06707023453669274
6.800000000000001,5988.0,673.85,-0.82,6.800000000000004,5995.727444490788,534.0772141583209,0.0554270836445307
7.0,5942.0,679.85,0.18,7.0000000000000036,5995.679201652631,533.6761948822314,0.04597852928189656
7.200000000000003,5971.0,747.85,-0.82,7.200000000000006,5995.626783528704,533.2922338149771,0.03829701890436863
7.400000000000002,6000.0,664.85,0.18,7.400000000000006,5995.592935877727,532.7197758648999,0.032037760354018494
7.600000000000001,5921.0,682.85,-0.82,7.600000000000005,5995.57508515456,531.9917705750756,0.026924261034384615
7.800000000000001,6032.0,692.85,1.18,7.800000000000004,5995.5603897206565,531.238201023056,0.022733748042785936
8.0,5960.0,729.85,-0.82,8.000000000000007,5995.517584982763,530.7532529349772,0.01928935587017479
8.200000000000003,5991.0,655.85,0.18,8.200000000000006,5995.469731889743,530.2989362408086,0.016451001832014086
8.400000000000002,6072.0,663.85,0.18,8.400000000000006,5995.439666382123,529.6709052701495,0.014103986373646769
8.600000000000001,5991.0,700.85,0.18,8.600000000000005,5995.424951001171,528.8994742035125,0.012155904587565674
8.8,5996.0,694.85,1.18,8.800000000000004,5995.412886409835,528.1106252867859,0.010531884269242578
9.0,5938.0,644.85,0.18,9.000000000000007,5995.372384300621,527.5919026298853,0.009172520685105412
9.200000000000003,5922.0,705.85,1.18,9.200000000000006,5995.326507902793,527.1085082579436,0.00803075392400818
9.400000000000002,6023.0,656.85,-0.82,9.400000000000006,5995.298083781178,526.4588786681076,0.007067456449061997
9.600000000000001,5827.0,662.85,1.18,9.600000000000005,5995.284728520833,525.6720475013811,0.006250877533616019
9.8,5931.0,636.85,0.18,9.800000000000004,5995.273817889903,524.8711323462311,0.005555081744561417
10.0,6012.0,658.85,0.18,10.000000000000007,5995.234384035057,524.3380265019628,0.0049594032608933705
10.200000000000003,5868.0,667.85,-0.82,10.200000000000006,5995.189450282536,523.8417436894512,0.004447378941899815
10.400000000000002,5937.0,656.85,2.18,10.400000000000006,5995.16179976275,523.1840020621974,0.004005107647229651
10.600000000000001,5979.0,648.85,0.18,10.600000000000005,5995.149074006057,522.3930359870714,0.0036211887874528694
10.8,5914.0,629.85,1.18,10.800000000000004,5995.138699499949,521.5895276455234,0.0032862044453474716
11.0,5943.0,698.85,0.18,11.000000000000007,5995.09980769234,521.0501372707346,0.002992571114974892
11.200000000000003,5897.0,670.85,-0.82,11.200000000000006,5995.055367674037,520.5478560493838,0.002734172834365303
11.400000000000002,5889.0,651.85,-0.82,11.400000000000006,5995.028107613753,519.8878162567846,0.002505765117902575
11.600000000000001,5942.0,676.85,0.18,11.600000000000005,5995.015683226938,519.0976338166154,0.0023029838621887013
11.8,5927.0,694.85,4.18,11.800000000000008,5995.005562246486,518.2957399563786,0.002122170106247662
12.0,5928.0,678.85,2.18,12.000000000000007,5994.966966448632,517.7537784274931,0.001960326335116478
12.200000000000003,6066.0,607.85,0.18,12.200000000000003,5994.922806064246,517.2487284428742,0.0018149883796113335
12.399999999999999,5997.0,675.85,1.18,12.400000000000006,5994.895750667065,516.5891426911976,0.0016840112512170576
12.600000000000001,6017.0,687.85,-0.82,12.600000000000009,5994.8834659166,515.8020935540872,0.0015655775096419637
12.800000000000004,5754.0,682.85,0.18,12.800000000000004,5994.873456668914,515.0038582680511,0.001458136071109133
13.0,5962.0,705.85,1.18,13.000000000000007,5994.835030475382,514.4612074944972,0.0013603871715396514
13.200000000000003,5997.0,686.85,-0.82,13.20000000000001,5994.791037585329,513.9550644192944,0.0012712364184372866
13.399999999999999,5988.0,671.85,0.18,13.400000000000006,5994.764088214006,513.2973637358883,0.0011897178661970606
13.600000000000001,5872.0,632.85,0.18,13.600000000000009,5994.751856135132,512.5146704037314,0.001114996776859764
13.800000000000004,6061.0,646.85,-0.82,13.800000000000004,5994.741881206242,511.72117216054977,0.0010463472401706943
14.0,6029.0,615.85,0.18,14.000000000000007,5994.703553865824,511.1788825315734,0.0009831458712445218
14.200000000000003,5966.0,716.85,0.18,14.20000000000001,5994.659664598412,510.67260415002636,0.0009248546272866516
14.399999999999999,5908.0,677.85,-0.82,14.400000000000006,5994.6327646066375,510.0175983840241,0.0008709928407744438
14.600000000000001,6077.0,650.85,0.18,14.600000000000009,5994.620534888664,509.23994399236875,0.0008211372803137523
14.800000000000004,6034.0,633.85,0.18,14.800000000000004,5994.610548983331,508.4517904113935,0.0007749134303172846
15.0,5975.0,654.85,1.18,15.000000000000007,5994.572278042408,507.91049680672876,0.0007319923696250059
15.200000000000003,5899.0,617.85,0.18,15.20000000000001,5994.528453498482,507.4046750193264,0.0006920839550559145
15.399999999999999,5872.0,677.85,-0.82,15.400000000000006,5994.501568299461,506.75285296715197,0.0006549263669254678
15.600000000000001,6068.0,634.85,0.18,15.600000000000009,5994.489310172609,505.9806381387824,0.0006202854036085387
15.800000000000004,6027.0,711.85,-0.82,15.800000000000004,5994.479285365681,505.19818683843584,0.0005879508047309753
16.0,6029.0,655.85,0.18,16.000000000000007,5994.441043881287,504.6583006158743,0.0005577345399896716
16.200000000000003,5986.0,603.85,0.18,16.20000000000001,5994.3972590338935,504.1533278551595,0.0005294678940138032
16.4,6003.0,647.85,-0.82,16.400000000000006,5994.370366460547,503.5050008634276,0.0005029973686210828
16.6,5975.0,631.85,0.18,16.60000000000001,5994.3580603004275,502.73846795633904,0.0004781839593435082
16.800000000000004,6024.0,624.85,0.18,16.800000000000004,5994.347978699976,501.96193450088595,0.00045490146309709785
17.0,5908.0,629.85,0.18,17.000000000000007,5994.309748807402,501.42373761270846,0.0004330354896274168
17.200000000000003,5971.0,659.85,-0.82,17.20000000000001,5994.2659868448,500.91988922039945,0.00041248210418105564
17.4,5843.0,628.85,1.18,17.400000000000006,5994.239072159793,500.2752635559746,0.00039314610676908325
17.6,6018.0,626.85,0.18,17.60000000000001,5994.226705073439,499.51456044003805,0.00037494048195351793
17.800000000000004,5980.0,615.85,1.18,17.800000000000004,5994.216554911287,498.74407444911486,0.0003577855498146465
18.0,5871.0,606.85,-0.82,18.000000000000007,5994.178324374832,498.2077679785791,0.00034160837819243703
18.200000000000003,5944.0,680.85,1.18,18.20000000000001,5994.134573636478,497.7052449290884,0.0003263420948256901
18.400000000000006,5928.0,584.85,-0.82,18.400000000000006,5994.107626787342,497.06446017521347,0.00031192509937501327
18.6,5951.0,670.85,-0.82,18.60000000000001,5994.095190147932,496.30967483884154,0.0002983006867047173
18.800000000000004,5800.0,633.85,1.18,18.800000000000004,5994.084963556885,495.545311442135,0.0002854165874276047
19.0,5946.0,675.85,1.18,19.000000000000007,5994.046723738604,495.01104525675834,0.0002732246111086533
19.200000000000003,5962.0,639.85,-0.82,19.20000000000001,5994.002975872632,494.51000130153693,0.0002616802704724324
19.400000000000006,5886.0,635.85,2.18,19.400000000000006,5993.9759898369675,493.8731544316119,0.00025074238536166985
19.6,5981.0,611.85,-0.82,19.60000000000001,5993.963477796078,493.12433634320183,0.00024037283526586275
19.800000000000004,5838.0,642.85,-0.82,19.800000000000004,5993.9531694670695,492.3661353011742,0.00023053629494500003
20.0,5933.0,649.85,-0.82,20.000000000000007,5993.91491410812,491.83402539342467,0.00022120001368107435
20.200000000000003,6004.0,618.85,-0.82,20.20000000000001,5993.871162964753,491.3345827621848,0.0002123335970321192
20.400000000000006,6059.0,682.85,2.18,20.400000000000006,5993.844132745657,490.7017423078054,0.00020390878988881924
20.6,6041.0,671.85,0.18,20.60000000000001,5993.831541319815,489.9589152301402,0.00019589931592197887
20.800000000000004,5925.0,619.85,1.18,20.80000000000001,5993.821147676531,489.2068922476875,0.00018828071801072497
21.0,5926.0,631.85,1.18,21.000000000000007,5993.782872177616,488.67702957609197,0.00018103021904065938
21.200000000000003,5975.0,599.85,0.18,21.20000000000001,5993.739113163513,488.17928658832,0.000174126588988754
21.400000000000006,5945.0,570.85,0.18,21.400000000000006,5993.7120351880385,487.5505000620519,0.0001675500174175737
21.6,5960.0,585.85,0.18,21.60000000000001,5993.69936169713,486.8136692763142,0.0001612820090745496
21.800000000000004,5900.0,606.85,0.18,21.80000000000001,5993.688880368769,486.067823144599,0.00015530528394325682
22.0,5983.0,641.85,-0.82,22.000000000000007,5993.650581274848,485.54028153078053,0.00014960368775951766
22.200000000000003,5886.0,627.85,1.18,22.20000000000001,5993.606810867541,485.0443202969224,0.00014416210804386124
22.400000000000006,5966.0,581.85,-0.82,22.400000000000006,5993.579682547267,484.4196209281864,0.0001389663950660408
22.6,6100.0,591.85,0.18,22.60000000000001,5993.566925217369,483.68877910377154,0.00013400329327517736
22.800000000000004,6087.0,612.85,-0.82,22.80000000000001,5993.556354674897,482.94909701363434,0.00012926037682962723
